id_transaksi,tanggal_transaksi,kategori_produk,harga,id_pegawai
TRN0001,4/6/2025,Perawatan Rambut,75000,PGW0008
TRN0002,4/14/2025,Pedicure,65000,PGW0019
TRN0003,2/3/2025,Perawatan Rambut,75000,PGW0013
TRN0004,3/25/2025,Spa,150000,PGW0028
TRN0005,2/21/2025,Pedicure,65000,PGW0047
TRN0006,2/8/2025,Facial,100000,PGW0041
TRN0007,2/10/2025,Manicure,60000,PGW0011
TRN0008,4/14/2025,Spa,150000,PGW0036
TRN0009,2/25/2025,Spa,150000,PGW0004
TRN0010,2/10/2025,Perawatan Rambut,75000,PGW0005
TRN0011,2/16/2025,Manicure,60000,PGW0003
TRN0012,2/3/2025,Facial,100000,PGW0010
TRN0013,3/4/2025,Facial,100000,PGW0016
TRN0014,3/26/2025,Pedicure,65000,PGW0036
TRN0015,2/27/2025,Facial,100000,PGW0023
TRN0016,3/16/2025,Manicure,60000,PGW0022
TRN0017,3/19/2025,Pedicure,65000,PGW0042
TRN0018,2/7/2025,Perawatan Rambut,75000,PGW0003
TRN0019,2/7/2025,Perawatan Rambut,75000,PGW0014
TRN0020,4/22/2025,Spa,150000,PGW0001
TRN0021,4/29/2025,Pedicure,65000,PGW0002
TRN0022,3/28/2025,Spa,150000,PGW0001
TRN0023,3/17/2025,Spa,150000,PGW0037
TRN0024,2/25/2025,Spa,150000,PGW0044
TRN0025,4/7/2025,Pedicure,65000,PGW0037
TRN0026,4/20/2025,Spa,150000,PGW0049
TRN0027,3/1/2025,Facial,100000,PGW0026
TRN0028,3/31/2025,Manicure,60000,PGW0033
TRN0029,4/8/2025,Manicure,60000,PGW0021
TRN0030,4/29/2025,Facial,100000,PGW0031
TRN0031,4/29/2025,Perawatan Rambut,75000,PGW0015
TRN0032,3/9/2025,Manicure,60000,PGW0031
TRN0033,2/21/2025,Spa,150000,PGW0040
TRN0034,2/15/2025,Spa,150000,PGW0033
TRN0035,2/28/2025,Perawatan Rambut,75000,PGW0024
TRN0036,2/12/2025,Pedicure,65000,PGW0036
TRN0037,2/15/2025,Spa,150000,PGW0048
TRN0038,3/21/2025,Perawatan Rambut,75000,PGW0043
TRN0039,3/7/2025,Perawatan Rambut,75000,PGW0005
TRN0040,4/9/2025,Pedicure,65000,PGW0021
TRN0041,2/28/2025,Facial,100000,PGW0031
TRN0042,4/19/2025,Manicure,60000,PGW0049
TRN0043,4/9/2025,Facial,100000,PGW0006
TRN0044,4/3/2025,Facial,100000,PGW0034
TRN0045,4/11/2025,Facial,100000,PGW0016
TRN0046,2/28/2025,Facial,100000,PGW0041
TRN0047,2/3/2025,Spa,150000,PGW0035
TRN0048,3/28/2025,Pedicure,65000,PGW0010
TRN0049,3/18/2025,Spa,150000,PGW0034
TRN0050,2/9/2025,Pedicure,65000,PGW0037
TRN0051,4/1/2025,Facial,100000,PGW0036
TRN0052,4/26/2025,Facial,100000,PGW0020
TRN0053,2/8/2025,Perawatan Rambut,75000,PGW0016
TRN0054,2/12/2025,Manicure,60000,PGW0007
TRN0055,3/24/2025,Pedicure,65000,PGW0003
TRN0056,2/11/2025,Manicure,60000,PGW0035
TRN0057,4/10/2025,Manicure,60000,PGW0017
TRN0058,2/6/2025,Facial,100000,PGW0045
TRN0059,2/23/2025,Facial,100000,PGW0042
TRN0060,2/26/2025,Pedicure,65000,PGW0013
TRN0061,4/7/2025,Perawatan Rambut,75000,PGW0013
TRN0062,3/6/2025,Spa,150000,PGW0031
TRN0063,2/21/2025,Manicure,60000,PGW0045
TRN0064,2/2/2025,Pedicure,65000,PGW0049
TRN0065,4/9/2025,Manicure,60000,PGW0021
TRN0066,2/2/2025,Pedicure,65000,PGW0017
TRN0067,2/15/2025,Facial,100000,PGW0008
TRN0068,4/13/2025,Facial,100000,PGW0005
TRN0069,3/22/2025,Manicure,60000,PGW0048
TRN0070,2/4/2025,Manicure,60000,PGW0031
TRN0071,3/1/2025,Facial,100000,PGW0028
TRN0072,2/26/2025,Spa,150000,PGW0035
TRN0073,3/31/2025,Spa,150000,PGW0020
TRN0074,4/15/2025,Pedicure,65000,PGW0012
TRN0075,2/2/2025,Pedicure,65000,PGW0001
TRN0076,4/27/2025,Pedicure,65000,PGW0023
TRN0077,4/4/2025,Spa,150000,PGW0011
TRN0078,2/21/2025,Pedicure,65000,PGW0001
TRN0079,4/26/2025,Manicure,60000,PGW0035
TRN0080,4/29/2025,Facial,100000,PGW0002
TRN0081,3/28/2025,Spa,150000,PGW0034
TRN0082,2/2/2025,Facial,100000,PGW0018
TRN0083,3/14/2025,Manicure,60000,PGW0036
TRN0084,4/17/2025,Manicure,60000,PGW0038
TRN0085,3/30/2025,Perawatan Rambut,75000,PGW0045
TRN0086,2/27/2025,Spa,150000,PGW0033
